PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,PlanetDensity,HostStarLuminosity
1.045,,39.8458,0.2196,0.037,,0.889,1.362,-0.31,5627.0,0.7459852430555557,1859781296485514.5
0.079,,102.54,0.4123,0.05,,0.889,1.362,-0.31,5627.0,0.7459852430555557,1859781296485514.5
0.0014,0.054,0.1768913,0.0048,,,0.46,0.45,0.0,3584.0,8.890921099425901,33411581387735.043
,0.114,4.194525,0.039,,,0.46,0.45,0.0,3584.0,0.7459852430555557,33411581387735.043
,0.071,6.356006,0.052,,,0.46,0.45,0.0,3584.0,0.7459852430555557,33411581387735.043
0.25,0.84,19.22418,0.143,0.0626,707.2,1.07,1.02,0.12,5777.0,0.4217957024079474,1158803541175004.8
0.17,0.82,39.03106,0.229,0.0684,557.9,1.07,1.02,0.12,5777.0,0.3083240231569479,1158803541175004.8
0.022,0.147,1.592851,0.0271,,1601.5,1.07,1.02,0.12,5777.0,6.925811650033701,1158803541175004.8
0.0321,,5.2354,0.053,0.06,,0.69,,,4347.0,0.7459852430555557,1058782497621550.0
,0.192,18.42794624,,,,0.83,0.79,-0.01,5132.0,0.7459852430555557,432913145434699.9
0.6,1.24,3.37265,0.0449,,1400.0,1.07,,-0.02,6050.0,0.3146923567520392,1058782497621550.0
5.21,,501.75,1.33,0.15,,0.82,,-0.18,4297.0,0.7459852430555557,1058782497621550.0
0.017,,3500.0,2.1,,,0.22,,,3840.0,0.7459852430555557,1058782497621550.0
,0.172,3.35183158,,,,0.95,0.93,-0.16,5759.0,0.7459852430555557,951380424604365.6
,0.256,5.75322197,,,,0.91,0.88,0.08,5416.0,0.7459852430555557,666315578177250.9
1.24,1.67,2.705782,0.0447,,2190.0,1.63,2.18,0.12,6490.0,0.2662393667969021,8431246260825125.0
0.0195,0.2525,1.58040417,0.01488,0.0,604.0,0.176,0.2213,0.1,3250.0,1.2112965046137,5463818594101.5625
,0.2661,18.870227,,,,0.82,0.892,,5404.0,0.7459852430555557,678564398346040.6
,0.23056,46.90232,,,,0.82,0.892,,5404.0,0.7459852430555557,678564398346040.6
1.82,,437.05,1.1735,0.52,263.9,1.13,1.33,0.453,5702.0,0.7459852430555557,1869873099711740.0
2.17,,6700.0,6.95,0.24,,1.13,1.33,0.453,5702.0,0.7459852430555557,1869873099711740.0
0.08,,14.476,0.11,0.115,925.0,1.087,1.48,0.29,5724.0,0.7459852430555557,2351375187911741.0
,0.147,0.67564949,,,,1.07,1.08,0.1,5906.0,0.7459852430555557,1419127060676696.5
0.5074,,3.0965886,0.04213,0.0093,,1.037,1.143,0.121,5815.0,0.7459852430555557,1493796154343661.8
1.818,,3324.0,4.417,0.28,,1.037,1.143,0.121,5815.0,0.7459852430555557,1493796154343661.8
,0.178,8.79617863,,,,1.1,1.15,0.02,6077.0,0.7459852430555557,1803651494987316.5
,0.136,7.99019627,,,,1.1,1.17,0.02,6080.0,0.7459852430555557,1870622012473344.0
,0.0682,6.803,0.0719,,,1.071,1.092,,6004.0,0.7459852430555557,1549558622571514.2
,0.0596,8.703,0.0847,,,1.071,1.092,,6004.0,0.7459852430555557,1549558622571514.2
,0.099,11.922,0.1045,,,1.071,1.092,,6004.0,0.7459852430555557,1549558622571514.2
0.05074,0.219624,16.092,,,,1.02,1.03,0.12,5685.0,4.789730430548271,1108144321950803.0
0.025952,0.076549,25.5169,,,,1.02,1.03,0.12,5685.0,57.856514639758345,1108144321950803.0
,1.07,4.45419434,,,,0.93,0.9,0.0,5535.0,0.7459852430555557,760248408623006.2
0.84,,1135.0,2.08,0.32,,0.93,1.46,-0.22,,0.7459852430555557,1058782497621550.0
,0.33,5.1134,0.056,0.0,1070.0,0.91,0.86,0.3,4950.0,0.7459852430555557,444035505622500.0
0.088,0.44,11.759,0.098,0.0,850.0,0.91,0.86,0.3,4950.0,1.033057851239669,444035505622500.0
,0.179,4.42157218,,,,0.71,0.68,0.28,4299.0,0.7459852430555557,157938353383503.22
,0.11756,6.04045,,,,0.914,0.816,,5123.0,0.7459852430555557,458646138108286.2
,0.11482,4.138575,,,,0.914,0.816,,5123.0,0.7459852430555557,458646138108286.2
,0.24696,6.6264,,,,0.994,0.976,,5913.0,0.7459852430555557,1164477633537866.0
,0.1613,3.701212,,,,0.994,0.976,,5913.0,0.7459852430555557,1164477633537866.0
0.051,,40.0,0.23,0.088,,0.99,,-0.04,5790.0,0.7459852430555557,1058782497621550.0
